WKT,cell_id,NAME,STATE_NAME,contiguity,core_area,disjunct_den,division,Edge Density,gyrate,near_neighbor_dist,Patch Density,Total Edge,total_Class_Area,total_Patch_Area
"POLYGON ((1277081.48339089 2161222.70603144,1278690.82739089 2161222.70603144,1278690.82739089 2159613.36203144,1277081.48339089 2159613.36203144,1277081.48339089 2161222.70603144))",1,Crawford,Pennsylvania,106.440908577335,305.296118152634,4.11522633744856,0.34130032082894,42.5364758698092,159.883717668401,18.204142097235,4.11522633744856,11370,249.3,283.949947854181
"POLYGON ((1278690.82739089 2161222.70603144,1280300.17139089 2161222.70603144,1280300.17139089 2159613.36203144,1278690.82739089 2159613.36203144,1278690.82739089 2161222.70603144))",2,Crawford,Pennsylvania,84.5955518361284,238.013016608698,8.76390794086267,0.885044741561152,117.398262459991,128.519580699622,15.5924419549729,10.2880658436214,30810,205.11,205.871892383134
"POLYGON ((1280300.17139089 2161222.70603144,1281909.51539089 2161222.70603144,1281909.51539089 2159613.36203144,1280300.17139089 2159613.36203144,1280300.17139089 2161222.70603144))",3,Crawford,Pennsylvania,89.5585626241068,302.154189371255,12.7197904975683,0.973244793615164,99.8877665544332,138.152571416287,22.4792976180433,15.3385708941265,26700,115.65,223.193110330682
"POLYGON ((1281909.51539089 2161222.70603144,1283518.85939089 2161222.70603144,1283518.85939089 2159613.36203144,1281909.51539089 2159613.36203144,1281909.51539089 2161222.70603144))",4,Crawford,Pennsylvania,149.726846456501,217.317490758404,3.42935528120713,0.740136369794577,58.641975308642,175.217620810963,17.9202023698575,4.57247370827618,15390,207.45,208.649745639202
"POLYGON ((1283518.85939089 2161222.70603144,1285128.20339089 2161222.70603144,1285128.20339089 2159613.36203144,1283518.85939089 2159613.36203144,1283518.85939089 2161222.70603144))",5,Crawford,Pennsylvania,88.9262394344559,220.682013448483,4.48933782267116,0.676631409493362,64.6464646464647,126.575830033726,18.1897010428838,4.48933782267116,17280,242.82,200.968808662232
"POLYGON ((1285128.20339089 2161222.70603144,1286737.54739089 2161222.70603144,1286737.54739089 2159613.36203144,1285128.20339089 2159613.36203144,1285128.20339089 2161222.70603144))",6,Crawford,Pennsylvania,49.7044411776653,190.881893957825,3.74111485222596,0.641482955253999,50.0561167227834,105.68597228428,17.7470455030637,3.36700336700337,13380,247.23,176.586171133709
"POLYGON ((1286737.54739089 2161222.70603144,1288346.89139089 2161222.70603144,1288346.89139089 2159613.36203144,1286737.54739089 2159613.36203144,1286737.54739089 2161222.70603144))",7,Crawford,Pennsylvania,115.635982399246,170.581203792684,0.762078951379363,0.335216538618586,23.0909922267947,119.219340942274,23.6463115642592,1.52415790275873,6060,246.51,163.866457736479
"POLYGON ((1277081.48339089 2162832.05003144,1278690.82739089 2162832.05003144,1278690.82739089 2161222.70603144,1277081.48339089 2161222.70603144,1277081.48339089 2162832.05003144))",8,Crawford,Pennsylvania,110.540220923944,298.423435911971,5.87695133149679,0.985095007171641,65.0137741046832,155.959746980252,62.1080536227214,12.8558310376492,17700,77.4,236.955476640317
"POLYGON ((1278690.82739089 2162832.05003144,1280300.17139089 2162832.05003144,1280300.17139089 2161222.70603144,1278690.82739089 2161222.70603144,1278690.82739089 2162832.05003144))",9,Crawford,Pennsylvania,85.0951949094521,310.473541312876,4.11522633744856,0.961158498565906,71.1560044893378,122.55535087193,174.34727271126,10.4751215862327,19020,105.57,248.86563745098
"POLYGON ((1280300.17139089 2162832.05003144,1281909.51539089 2162832.05003144,1281909.51539089 2161222.70603144,1280300.17139089 2161222.70603144,1280300.17139089 2162832.05003144))",10,Crawford,Pennsylvania,116.428378563222,328.935008523868,6.24426078971533,0.89804423195137,76.0330578512397,166.885325420715,18.1373347146763,9.91735537190083,20700,152.55,284.015556108281
"POLYGON ((1281909.51539089 2162832.05003144,1283518.85939089 2162832.05003144,1283518.85939089 2161222.70603144,1281909.51539089 2161222.70603144,1281909.51539089 2162832.05003144))",11,Crawford,Pennsylvania,68.5179443317058,189.294791265406,1.49644594089039,0.217890464691812,28.1705948372615,104.6492441608,19.811529142685,1.49644594089039,7530,255.6,179.681181500419
"POLYGON ((1283518.85939089 2162832.05003144,1285128.20339089 2162832.05003144,1285128.20339089 2161222.70603144,1283518.85939089 2161222.70603144,1283518.85939089 2162832.05003144))",12,Crawford,Pennsylvania,62.4944972242893,261.487111964988,2.20385674931129,0.194294925210027,35.0413223140496,123.190237830174,18.8027756417573,2.57116620752984,9540,258.21,247.957059490803
"POLYGON ((1285128.20339089 2162832.05003144,1286737.54739089 2162832.05003144,1286737.54739089 2161222.70603144,1285128.20339089 2161222.70603144,1285128.20339089 2162832.05003144))",13,Crawford,Pennsylvania,66.2105717259009,190.13819374251,2.57116620752984,0.475057823919131,41.6528925619835,106.335411756972,16.7613714621834,2.20385674931129,11340,255.51,175.81392357721
"POLYGON ((1286737.54739089 2162832.05003144,1288346.89139089 2162832.05003144,1288346.89139089 2161222.70603144,1286737.54739089 2161222.70603144,1286737.54739089 2162832.05003144))",14,Crawford,Pennsylvania,68.3836552652839,131.960618529496,1.49644594089039,0.519215726286433,36.2514029180696,80.9168640239586,19.811529142685,1.49644594089039,9690,252.54,124.070222457007
"POLYGON ((1288346.89139089 2162832.05003144,1289956.23539089 2162832.05003144,1289956.23539089 2161222.70603144,1288346.89139089 2161222.70603144,1288346.89139089 2162832.05003144))",15,Crawford,Pennsylvania,40.6005423746522,72.6768350207191,2.93847566574839,0.865427989891401,69.2011019283747,50.3036332797996,14.6295450911064,2.93847566574839,18840,237.96,68.3854481148892
"POLYGON ((1289956.23539089 2162832.05003144,1291565.57939089 2162832.05003144,1291565.57939089 2161222.70603144,1289956.23539089 2161222.70603144,1289956.23539089 2162832.05003144))",16,Crawford,Pennsylvania,88.5942366503411,134.950449259179,2.20385674931129,0.785362748446144,55.9779614325069,118.566343012246,16.1286372094649,3.67309458218549,15240,248.13,132.662453911163
"POLYGON ((1291565.57939089 2162832.05003144,1293174.92339089 2162832.05003144,1293174.92339089 2161222.70603144,1291565.57939089 2161222.70603144,1291565.57939089 2162832.05003144))",17,Crawford,Pennsylvania,102.037064486576,236.844186821566,4.48933782267116,0.623656769717376,64.3097643097643,158.649446334932,14.2931887482163,4.48933782267116,17190,241.56,222.298287539385
"POLYGON ((1293174.92339089 2162832.05003144,1294784.26739089 2162832.05003144,1294784.26739089 2161222.70603144,1293174.92339089 2161222.70603144,1293174.92339089 2162832.05003144))",18,Crawford,Pennsylvania,71.2159574391897,169.399228733531,3.30578512396694,0.738280281401544,59.7245179063361,95.1931093924645,17.7969006653003,3.67309458218549,16260,248.31,154.423001587464
"POLYGON ((1294784.26739089 2162832.05003144,1296393.61139089 2162832.05003144,1296393.61139089 2161222.70603144,1294784.26739089 2161222.70603144,1294784.26739089 2162832.05003144))",19,Crawford,Pennsylvania,50.2261222474555,128.795786226985,3.30578512396694,0.741484434123352,55.9779614325069,67.235595623678,15.5969362088327,2.57116620752984,15240,250.11,115.536155332018
"POLYGON ((1296393.61139089 2162832.05003144,1298002.95539089 2162832.05003144,1298002.95539089 2161222.70603144,1296393.61139089 2161222.70603144,1296393.61139089 2162832.05003144))",20,Crawford,Pennsylvania,97.7502074609077,121.777350901923,0.748222970445193,0.518555929667041,29.4051627384961,112.290108888691,18.7672642712109,1.49644594089039,7860,256.14,120.954200884273
"POLYGON ((1298002.95539089 2162832.05003144,1299612.29939089 2162832.05003144,1299612.29939089 2161222.70603144,1298002.95539089 2161222.70603144,1298002.95539089 2162832.05003144))",21,Crawford,Pennsylvania,60.1989328530988,219.227740261274,1.10192837465565,0.164799344307083,25.6749311294766,133.254626054565,0,1.83654729109275,6990,259.74,211.776791033652
"POLYGON ((1277081.48339089 2164441.39403144,1278690.82739089 2164441.39403144,1278690.82739089 2162832.05003144,1277081.48339089 2162832.05003144,1277081.48339089 2164441.39403144))",22,Crawford,Pennsylvania,74.1688827445504,131.781087960424,1.10192837465565,0.999427252236869,9.25619834710744,73.0705869563795,182.24100416907,1.4692378328742,2520,9.81,100.961902906262
